Number Plate,Name,Surname,Phone,Challan,Violation Type
MH14GE9533,Karan,Yadav,3908672087,4500,No Helmet
8T1428,Rahul,Rao,5384314196,5500,No Helmet
HHT9D,vikas,pandit,4455530144,1000,No Helmet + Triple Seat
X5283,Vivek,panchal,3540822569,5500,No Helmet
1F23,Karan,Yadav,1451191722,500,No Helmet
KH90X5283,Karan,Rao,9916797151,2000,No Helmet
MK4JE144,Karan,Sharma,6624415592,1000,No Helmet
MM19DK5201,Rina,Gupta,8964680985,500,No Helmet
JH19CX5283,Rahul,Singh,2524695924,1500,No Helmet
MH19DX5283,Suresh,Verma,9907602497,1000,No Helmet
RHA7M425,Rina,Sharma,590257812,500,No Helmet
RHA7J425,Rahul,Mehta,5670939273,500,No Helmet
0A2EM,Vivek,Patel,9753580189,500,No Helmet
MH190X5283,Pooja,Patel,8126753578,500,No Helmet
IO19OX5283,Rahul,Yadav,3524914333,500,No Helmet
ZOHASD,Vivek,Verma,2036684237,500,No Helmet
NH19OX5283,Suresh,Yadav,7978838865,500,No Helmet
P,Suresh,Patel,1134000746,500,No Helmet
FFA,Neha,Singh,6081577684,500,No Helmet
MNTFD,Karan,Verma,6809422125,500,No Helmet
81KA2,Suresh,Gupta,2801220596,500,No Helmet
1H31288,Amit,Yadav,5230362804,500,No Helmet + Triple Seat
MHT9PX5283,Karan,Patel,3097590552,500,No Helmet
MM43874428,Rina,Gupta,5096897584,500,No Helmet
MHT9PXS283,Neha,Singh,1841438409,500,No Helmet
WB21,Vivek,Gupta,7277835796,500,No Helmet
TW津冀W,Suresh,Yadav,0043760963,500,No Helmet
